"V1","Users","Product","Ratings","TimeStamp"
"1105","A2RYT2UPEQXUAV","006226768X",5,1387065600
"1110","AZHZZONN1SO6P","006226768X",5,1347667200
"1111","A3RINEQ4GDTR55","006226768X",5,1373241600
"1113","A37J1XCFNH6FM4","006226768X",5,1351468800
"1114","A3G0JABVQ4GLAF","006226768X",2,1403222400
"1115","A2O4Z88GVCITJY","006226768X",2,1394323200
"1116","A19UT0OPQCDR8","006226768X",4,1358380800
"1117","A1JLU5H1CCENWX","006226768X",5,1375747200
"1120","A31GMWA73W17SP","006226768X",4,1360195200
"1121","A3HUO6O1NQ5JPA","006226768X",3,1381968000
"1123","A2VHD8U494G5M4","006226768X",5,1347235200
"1124","A3SK6BTH6X3EI3","006226768X",3,1402790400
"1128","A2QRFHJ2MOY662","006226768X",4,1373068800
"1131","A1KYXC0UYAK9UC","006226768X",5,1347148800
"1133","A27V6NFIQ8XFBW","006226768X",2,1383609600
"1134","A2414AAH5K0H10","006226768X",4,1389398400
"1138","A3TGY3ANGBNK7C","006226768X",3,1368835200
"1140","A2OBZW6JIRROX6","006226768X",4,1379289600
"1141","A2Q59QS5174NJ1","006226768X",3,1353974400
"1143","A1MU8E76C6HXW4","006226768X",5,1360368000
"1144","A7QN3YS1SUO7G","006226768X",4,1373068800
"1147","A958LJ1BUJLG5","006226768X",5,1347840000
"1149","A2NNKUZDWQ5UGY","006226768X",5,1347148800
"1150","A3LTP55583V0Y","006226768X",5,1350432000
"1151","A33UUSX8ECQTRQ","006226768X",3,1374364800
"1154","A1W5758V90WQKZ","006226768X",1,1375056000
"1155","A5FDYZB6MG2TT","006226768X",4,1377388800
"1156","AUTMCMDU1Y1O7","006226768X",5,1354320000
"1159","A3RKCR4IGPUFL0","006226768X",5,1369353600
"1160","A3LW8GY42A4URK","006226768X",5,1347667200
"1161","A1JI83RLITTQST","006226768X",5,1364169600
"1164","A39B4H20EJ9PMT","006226768X",4,1347062400
"1166","A1JIZ2Y8VG90AI","006226768X",5,1360800000
"1167","AAWWVH8V7DVX4","006226768X",5,1369526400
"1168","A2VRZDJXL8K5ZM","006226768X",4,1348272000
"1173","A2L15MBNQU7O6G","006226768X",5,1358553600
"1176","A1SFNAPI9UFL3D","006226768X",4,1350432000
"1179","AWC38PDUZQ8RJ","006226768X",4,1386979200
"1181","AM9W61ZE696PD","006226768X",5,1353456000
"1184","A3D4Z4MKKR3LZD","006226768X",5,1356739200
"1187","A2B1MXB18XYYZ9","006226768X",5,1354060800
"1189","AZUK2I9YOOT1Y","006226768X",5,1347148800
"1191","A3BMLG97SSIKN3","006226768X",5,1373241600
"1194","A2I9SOM8NW320O","006226768X",4,1357084800
"1196","A1ODOV9W7G3GF3","006226768X",3,1358640000
"1197","AHQHUBE9H5TGN","006226768X",3,1380067200
"1198","A9508DHWVHBTN","006226768X",5,1346803200
"1199","A3J6BG42QHFD5T","006226768X",2,1349308800
"1201","ADH1DQ8EFBJEO","006226768X",5,1356912000
"1203","A1841TMI2HV7BS","006226768X",3,1357257600
"1204","A3PATLW8T3PQV7","006226768X",5,1363824000
"1205","A12G2LI7K2303","006226768X",2,1347321600
"1211","AOD0KRO374ZG6","006226768X",5,1390348800
"1213","A2ZP6ZIEQH9TQY","006226768X",5,1348617600
"1214","A34YRJ0YCUU05L","006226768X",4,1379808000
"1217","A3HS3KYR9D08MW","006226768X",5,1368748800
"1218","A18O583BFX2LJR","006226768X",5,1371772800
"1219","AKF1XBBWAQR6L","006226768X",1,1376697600
"1223","A32ZHWSB4NJINH","006226768X",4,1347408000
"1225","A13KP9R4K5RZES","006226768X",5,1348185600
"1226","A1NJHOGKZZRAX8","006226768X",2,1369785600
"1228","A3C5VDFQ6IE702","006226768X",4,1347062400
"1229","A3KM84RAZA7XXC","006226768X",3,1348444800
"1230","A3BR1CG9CRXB6Z","006226768X",5,1358553600
"1232","A1JKGTL51HHTU1","006226768X",3,1373587200
"1236","A1TQYAEFWXVJWV","006226768X",5,1377302400
"1237","APBF8YPKN9LFL","006226768X",5,1358467200
"1466","A1AYACY5KT0YOG","0062273248",5,1372982400
"1468","A1PNUOUUJ6AGUJ","0062273248",3,1352246400
"1469","A1LST4I72EIH9P","0062273248",5,1379203200
"1470","ABVXY3D3CCY1Q","0062273248",4,1373241600
"1471","A2GT3TNFITYMML","0062273248",4,1373328000
"1472","A1LO4B7AQJI6V1","0062273248",4,1351209600
"1476","A1JQVAOISRZK3M","0062273248",4,1398297600
"1477","A203QQMJRIN721","0062273248",4,1351900800
"1479","A19UT0OPQCDR8","0062273248",5,1350345600
"1480","A1JLU5H1CCENWX","0062273248",5,1356393600
"1483","A2Y7HPX4JGE3D0","0062273248",3,1353974400
"1484","A2QIH5TAPEKLDA","0062273248",4,1374451200
"1487","A2VHD8U494G5M4","0062273248",5,1350259200
"1489","A2Y5EPYINH9A5G","0062273248",1,1357084800
"1491","A2QRFHJ2MOY662","0062273248",5,1355961600
"1492","AKH906R0Z1PPS","0062273248",4,1379635200
"1495","A27V6NFIQ8XFBW","0062273248",3,1384560000
"1496","A1MUAEATTGI7G5","0062273248",4,1350518400
"1497","A12ZO1K8ZVRBR5","0062273248",4,1374710400
"1500","A132J9IE3OXW7M","0062273248",5,1364688000
"1504","A1EREL55X7JD56","0062273248",4,1359331200
"1505","A6EAXALXUOFHY","0062273248",5,1354579200
"1506","AM4XZBQH36O2M","0062273248",4,1350777600
"1507","A1MU8E76C6HXW4","0062273248",5,1358467200
"1509","A185DSX2TJYOEQ","0062273248",4,1351036800
"1510","A3H1YPKLPLWALL","0062273248",3,1402099200
"1511","A2NNKUZDWQ5UGY","0062273248",5,1350259200
"1513","A33UUSX8ECQTRQ","0062273248",4,1361750400
"1514","AUTMCMDU1Y1O7","0062273248",4,1350691200
"1515","A2J7UWRODZ06S9","0062273248",5,1351555200
"1517","A14ZYLW0816G0P","0062273248",4,1400457600
"1520","A1JI83RLITTQST","0062273248",4,1364169600
"1524","A2VRZDJXL8K5ZM","0062273248",4,1350777600
"1527","A29G5X33I71N83","0062273248",4,1356048000
"1528","A243FA8XGHI63J","0062273248",5,1369008000
"1531","A2ORQUJV81OPSC","0062273248",5,1379462400
"1535","A64NGKLPWCG32","0062273248",1,1361318400
"1538","A1SFNAPI9UFL3D","0062273248",4,1350604800
"1540","AWC38PDUZQ8RJ","0062273248",3,1386460800
"1545","A2MI5ZSQ6IV07M","0062273248",5,1361664000
"1547","AHBARDTLF35PU","0062273248",3,1355270400
"1550","ASLZZ152AHHU3","0062273248",5,1382400000
"1551","A11HGVNM8Q5A2O","0062273248",4,1400284800
"1555","A3FQWDNO97VUGG","0062273248",3,1380499200
"1556","A2I9SOM8NW320O","0062273248",5,1353628800
"1558","A299FEAJTBV8NO","0062273248",5,1370736000
"1559","A1CQB4MLPK52SZ","0062273248",4,1354924800
"1560","A1OIO7LQZPT7VX","0062273248",5,1374278400
"1561","A3AD2MXB66CYGL","0062273248",5,1385856000
"1563","A1ODOV9W7G3GF3","0062273248",4,1380931200
"1565","A1RN75YVR2O8MQ","0062273248",5,1363046400
"1568","A2ZJNCM6CKD875","0062273248",5,1397779200
"1570","A1DJCR1E71SR2C","0062273248",4,1350518400
"1575","A266XEZ6V821VY","0062273248",4,1386028800
"1579","A3HY7DE45OAY0G","0062273248",3,1370563200
"1580","A32CCK9Z1L2JBJ","0062273248",4,1353110400
"1581","A2EU9VP0MRMUGE","0062273248",5,1365724800
"1584","A20A8HZX37BOYL","0062273248",4,1369699200
"1588","AKF1XBBWAQR6L","0062273248",3,1373155200
"1589","A33KNBGC6UM133","0062273248",5,1373932800
"1591","A1RM1BXXU6KJPM","0062273248",4,1374105600
"1592","A1C7DFNSXTY09X","0062273248",4,1373155200
"1596","A11GG623AD89YT","0062273248",5,1351296000
"1597","A19DWIC1T7127Y","0062273248",3,1371772800
"1598","A3KM84RAZA7XXC","0062273248",4,1356393600
"1599","A3BR1CG9CRXB6Z","0062273248",5,1358553600
"1600","A1JKGTL51HHTU1","0062273248",4,1366588800
"1602","A2UMAQ532HI9S","0062273248",5,1361491200
"1605","A1TQYAEFWXVJWV","0062273248",5,1377302400
"1606","APBF8YPKN9LFL","0062273248",4,1356566400
"1746","A3526B1LCK47X9","0062294776",4,1362528000
"1747","A3IQ5HVRNPSB0X","0062294776",4,1362441600
"1750","A26NG8QVBF5527","0062294776",4,1387929600
"1752","AE4H1E8A90ZHT","0062294776",5,1385769600
"1753","A1AYACY5KT0YOG","0062294776",5,1363132800
"1756","A358GAM1Z9FOC1","0062294776",5,1362009600
